token,coefficient
miniatures,3.07596668647052
cthulhu,2.7576131665210366
residency,2.6000205219625743
smartest,2.312214157566906
thesis,2.2372348663449775
burning,2.197497259947437
titanium,2.1808063029141667
pathfinder,2.1677477249536437
degree,2.1334685805351956
smallest,2.1054925412184877
lovecraft,2.0695923781361008
pens,2.069125195097061
brewing,1.973141509251261
raspberry,1.966033704880524
watches,1.9293218547638273
anthology,1.9261003430551373
headphones,1.8517043536547877
printer,1.8466374488162902
reinvented,1.815608234210959
sketchbook,1.7720338236525532
zine,1.7499868498056625
ethical,1.7453018287491915
roleplaying,1.7450296545322823
wearable,1.734742988183311
stretch,1.720409141840252
smart,1.7027610315636812
arctic,1.699562334108025
miniature,1.6955457471082227
mechanical,1.6398091407837365
deluxe,1.6110015771437047
watch,1.5952516035469195
desktop,1.594873188158725
sxsw,1.5822537764221947
letterpress,1.5618702037697199
finishing,1.5504838491069475
installation,1.5478887508208354
brooklyn,1.5465255314366175
dress,1.546178483554193
archive,1.546117017234411
nudes,1.5390856490085874
backpack,1.5325262868616094
ensemble,1.5292929307675325
dice,1.526196193028494
edition,1.5151763221213854
cocktail,1.5131923059633174
slim,1.5052459989867175
jacket,1.4911189643438076
socks,1.4699654965423523
artbook,1.4639215410422142
storytelling,1.452721858672575
core,1.452611758040258
quartet,1.4507868657748477
cable,1.4463934814623571
relaunch,1.438420823374392
camera,1.4368595838068503
amy,1.4320506760985754
duo,1.4284697228162004
underwear,1.4255358565929002
portland,1.4181902400860704
sunglasses,1.4174932824665392
pen,1.4066034689625768
savage,1.393285021935902
robotics,1.3906191814581763
cycling,1.3843974711308176
quarterly,1.3750851625027647
arduino,1.373447123973284
exhibition,1.3626302709124654
edinburgh,1.3542858011286738
wireless,1.354100400465065
modular,1.3401942326419392
queer,1.3228392493283816
volume,1.3103578950086283
enamel,1.3038736052939515
smarter,1.3021461294887502
cast,1.2902388660541386
powerful,1.2801678296700374
brass,1.2798234495449021
hardcover,1.279821762862122
record,1.274806327395691
connected,1.2685187096774806
advanced,1.2610378887219442
emily,1.2608317595992447
hello,1.257666859539435
mural,1.2557740856906083
charging,1.2549487324539854
terrain,1.254054114927701
module,1.2538070700997361
folding,1.25206252992858
bowls,1.2405080319951352
cameras,1.2247938394085527
katie,1.2218125695704436
denim,1.2179305375315947
robot,1.2125192134384726
sensor,1.210181212972329
berlin,1.2094574254707162
bluetooth,1.2086219673321832
wifi,1.2082564053864235
rfid,1.192783133311
tarot,1.1873214226413789
sarah,1.1869756972175518
jane,1.1762509272439396
makes,1.1744010750323386
built,1.1711739349428076
atlas,1.168332517316259
sf,1.1645416937585022
oak,1.1621356447097466
magnetic,1.1507885326174794
wallets,1.1490979652883366
women,1.142095376829816
field,1.1401801874575777
comfortable,1.1381024362522967
matt,1.1371025863700546
belt,1.1360153236295578
new,1.1333402531857473
graduate,1.124147138039652
dungeon,1.1240950077506489
season,1.1236840661088474
issue,1.1209639532440474
carry,1.1178178268183177
pedal,1.1164212522968682
rings,1.1139362196191582
pants,1.1131484368640328
photographs,1.112367398088989
half,1.111553456239313
narrative,1.1072207301252779
length,1.105907111956783
fiber,1.1052705818189317
wallet,1.103859354713127
versatile,1.1006163481030447
chamber,1.0995995850042928
present,1.0962251379535313
farm,1.0869588222233528
playing,1.0864107340074876
trek,1.0821509702062835
redefining,1.0771474988987988
post,1.0720499916907915
sleep,1.069078019752242
usb,1.066427589106068
premiere,1.0638037586166058
creature,1.0589067418282494
tabletop,1.0561769787066033
jeans,1.0531450466265968
climate,1.0504269823127683
gbs,1.044457733213182
unicorn,1.0438338355090173
anna,1.04164771465572
edc,1.040340022302961
compatible,1.0327296239325419
smith,1.0284212099582066
handcrafted,1.0270005628252372
sea,1.0265464689114396
footwear,1.0243362184245148
grow,1.0209890097827488
caf,1.018500693090568
compact,1.0137689260817166
coins,1.0128356599947284
charger,1.012153347260466
double,1.010665117917686
temple,1.0102361381489118
mug,1.0074208706438328
press,1.0032894118868008
gender,1.0018207965306614
oracle,1.0014791361925424
knife,1.000188667563827
vermont,0.9983385816544889
near,0.9888206404382608
japanese,0.9873198681322461
dan,0.9842531468470869
april,0.9819617118320871
mason,0.9817105033954022
plate,0.9803165005189631
birds,0.9736461136239156
premium,0.9690960568071193
plush,0.9680346792719022
minimalist,0.9665695385959744
iron,0.9640076079959534
boston,0.9634642528664318
orleans,0.9615335311967452
tracking,0.9567315163121591
lab,0.9552261197176913
steps,0.954168670680503
keychain,0.9532627703715607
battery,0.9498440300374048
waterproof,0.9455689897102357
vol,0.9436154625840578
debut,0.9423203192446885
architecture,0.942288148330989
desk,0.9404383920642632
spinning,0.9384987896147866
fringe,0.937950029893858
robin,0.9379262274697409
collective,0.9370193790788225
storage,0.9355874255260362
spark,0.9321833057501483
mm,0.9261401515297855
fair,0.9252290474647799
circus,0.9240601680640683
illustrated,0.9230671573043703
swiss,0.9185369536233224
ben,0.9182340177144456
sugar,0.9162303023719848
grace,0.9157609268982013
yarn,0.9126621083133525
richard,0.9114742350800998
expansion,0.9092406601529531
keyboard,0.9074602444423421
orchestra,0.9018556281533168
bike,0.8990602175662912
artisan,0.8989153559891796
anniversary,0.8983779863160826
send,0.8930873170745747
ground,0.8929710369746445
dave,0.8921485902471055
minimal,0.8900750345441995
places,0.8891355224658548
presents,0.888279573293927
proof,0.8879418430483959
loop,0.8871779258660984
visual,0.8849236700197796
smartphone,0.8840129538877406
designers,0.8837447429493618
rare,0.880307310259877
film,0.8800710447520103
masters,0.8778214542045842
returns,0.876233063190222
documenting,0.8760540856862378
goes,0.8758955911449152
iot,0.8756146868880403
fine,0.8733833275064119
francisco,0.872392735768995
pencil,0.8722836194599831
notebook,0.8708958943602105
mark,0.869679478400577
peter,0.8693068779841674
cookbook,0.8651531457016424
mighty,0.8638452278944082
threads,0.8622522300177492
dust,0.8595665345831619
solo,0.8585487052729659
figures,0.8578476182522745
doc,0.8552537122334762
board,0.8507036903503781
performance,0.8506714361684268
vegan,0.8506032501583969
focus,0.8504834591041325
rpg,0.8498731925234021
eric,0.8492460013847768
sean,0.8486380798841764
course,0.8442539546492597
charge,0.842862065741604
hall,0.8424724871087876
zero,0.8390458053154516
folk,0.8348173986038616
kickstarter,0.8338497030123688
book,0.8319371085033793
portrait,0.8298505600190771
speaker,0.8283454062174506
strangers,0.8281292219147248
frank,0.8280222521238841
shoes,0.8251426773502802
detroit,0.825105479181382
yoga,0.8186105002277331
ultra,0.8168505447290457
kitchen,0.816414676539073
noir,0.8163294516293254
goods,0.8159458230050168
drawing,0.8159333077999057
truly,0.8142709752328524
exchange,0.8140433973121417
shorts,0.8119906028553464
japan,0.8115901876472347
dc,0.8101212669597518
cabaret,0.807052495316237
yes,0.803415808524748
automatic,0.8028516373983917
library,0.8022551719206388
sustainable,0.7978846139453505
ideas,0.796668317037454
kelly,0.7961174928127167
album,0.7943691905566138
museum,0.791644095420682
maps,0.7875839961529559
incredible,0.7868835474738973
identity,0.7856079561469029
pocket,0.7851899277812204
science,0.7842619218413066
portable,0.7837264079351594
designed,0.781385112281109
cards,0.7811716365780449
collaboration,0.7809918532077366
maine,0.779791788905702
aaron,0.7795097340305727
punk,0.7794705035816839
leather,0.7792445318071994
tracker,0.7776271283597782
frontier,0.7769021622752889
bold,0.7754065054871251
du,0.7753302162185974
whiskey,0.7751293687011416
rest,0.7735726925228472
everyday,0.7698624195092801
josh,0.7678942201764213
cuba,0.7678105084383375
nyc,0.7659280449496954
charlie,0.7656006238133249
salt,0.765502924665369
june,0.7647570945538567
steve,0.7636014571874461
penny,0.7613752448443172
maker,0.7608634324669897
devices,0.7590950231577331
smartphones,0.756516998312404
type,0.7564673673750469
acoustic,0.7548597893452224
companion,0.7522113508939756
scout,0.7516889634409792
invisible,0.7509054089563513
slow,0.7494414239548849
turn,0.7486974213895968
ocean,0.747752023570073
short,0.7460014599570609
derby,0.7453699376859613
th,0.7453259946615696
fi,0.7443732094258104
lens,0.7432947627130443
ultimate,0.7395573853162212
rabbit,0.7393654904988323
village,0.7384850409380426
bright,0.736017168355396
cold,0.7358364321773112
eagle,0.7353319580283606
pan,0.7306578949923036
rd,0.7305557829335968
dear,0.7251117521513192
oven,0.7241104884752589
paper,0.7222578164700627
fantasy,0.720246740529141
union,0.7197445099967087
alphabet,0.718470519788672
baking,0.7158705023486593
far,0.7147272912668978
keys,0.7144665002711177
wooden,0.7140849975838652
daniel,0.7130431351858729
cheese,0.7128914215497728
pins,0.7110943591905585
grown,0.7110561308007738
split,0.7104411012707457
kit,0.7098114722571995
wonder,0.7097230916681618
steampunk,0.7096922073721433
computer,0.7081963697624708
pieces,0.7072420744851327
gps,0.7070723943065375
makers,0.7054403494770124
presented,0.7050615803315645
wild,0.7040922807876757
figure,0.7040467798352898
charms,0.703362875183248
literary,0.70310038960737
girls,0.7001726842544201
martin,0.6990900979131889
works,0.6979625901530896
ii,0.6957660336038703
second,0.6941719551185069
button,0.6939419635618843
finally,0.69333920488066
north,0.6918891435479231
london,0.6900730412124206
jon,0.6880202548446065
source,0.6871037390744331
brings,0.6860315255126441
downtown,0.6860036378712319
plug,0.6850494332158
kits,0.6849461086154167
odyssey,0.684804308245595
meat,0.6839284543187988
hollow,0.6832627418239494
intelligent,0.6831034696985018
boots,0.6827669757018027
psychological,0.6825114692833232
jim,0.6823082688485954
essential,0.6811430541106285
number,0.6784993154035333
genius,0.6776005592846682
magazine,0.6773104556944771
bamboo,0.6768211446889412
control,0.6761167013695948
tea,0.6759090157043222
order,0.6745833075853321
borders,0.6740261179219659
roller,0.6732355662722732
practical,0.6724682501003396
bones,0.6720745436454933
printing,0.6713859516693159
electric,0.6704791346416006
inspired,0.6670107214068267
neighborhood,0.6669868192492273
analog,0.6646653866479397
alaska,0.6641523104367025
canada,0.6640857571311202
little,0.6617550465876372
console,0.6613283578485367
micro,0.6598400164015156
progress,0.6595111742807566
le,0.6590425609539948
parts,0.6588631554827029
meets,0.6586205181345445
players,0.6574074374504323
workshop,0.6568046781079555
sock,0.6564562026199687
finish,0.6559641698396794
del,0.6543044888217826
starring,0.6540153750522525
alice,0.6537951947853217
purpose,0.65353816487698
mouse,0.6526833920855811
san,0.6523915585188211
annual,0.6523701107621329
brave,0.6515040621193432
sun,0.6505865969475971
chris,0.6503981829005984
machine,0.6489765265067123
outside,0.6486939998965146
bags,0.6479018127273353
quality,0.6473618979880111
public,0.6466296323607593
print,0.6465625241643173
coolest,0.6455856519836607
memoir,0.6455410088960043
davis,0.6451444777337118
industrial,0.6442897306593973
dual,0.6442534162205567
mexico,0.6440706477999139
vinyl,0.6428034135891825
deck,0.642031008949094
journal,0.641911369645544
planner,0.6410961371684657
strong,0.6406365403963598
legendary,0.6404607300039089
senior,0.6392598485037109
lp,0.638470189410291
open,0.637146105586434
gold,0.6367370931114257
blocks,0.6359235285586037
year,0.6350378153864437
bars,0.6339316809843301
spaces,0.6337299776035844
bunny,0.6313272275256742
tiger,0.6311531730877702
space,0.6309325176950896
chapter,0.6299160711709546
il,0.6285611760823044
square,0.628086137618471
tale,0.6277958921542435
ma,0.6268388814271212
james,0.6263353552438485
van,0.6255103977611911
resistance,0.6204244574228532
ed,0.6170872519894055
clock,0.6166466066849295
going,0.6165794954009762
extraordinary,0.6160638878354842
celebrating,0.6149417531169855
powered,0.6119845845213652
parade,0.6115297883719838
robotic,0.6112613921090939
worship,0.6111760257569638
rocket,0.6104996270489923
deep,0.607256383285309
mouth,0.6072297704367134
summit,0.6071269960705503
horses,0.6069570334826575
bust,0.606842944657808
years,0.6066045802690644
ep,0.6057319308575404
trio,0.6052916817284317
gopro,0.6044656680434723
brian,0.6037886812268269
clay,0.602781049327806
impact,0.601713541523593
hole,0.6012788490439753
kill,0.6006980333550379
arm,0.600195336167661
models,0.599669252824606
floating,0.5987983170991229
sex,0.5978710728476586
turtle,0.5975624118368709
iii,0.5972644899188378
goodbye,0.5966368223484272
andrew,0.5956181897215131
moon,0.5954290022439115
symphony,0.5943396444276546
sleeping,0.5938835010120896
echo,0.5937516148967349
garden,0.5937031775192987
cinema,0.591824204215186
kick,0.5906012170561996
complete,0.5878040296405387
device,0.5875967529122862
tool,0.587401301263949
walls,0.5868788214606978
thing,0.5863004146414349
voyage,0.5858566281413882
magical,0.5847790115965933
silver,0.5844217076292346
bigger,0.5835560420783987
bag,0.5825828748010856
flash,0.5799036701754425
stories,0.5794773130229055
bang,0.5792724600975601
construction,0.5789458903482239
build,0.578797578661201
east,0.5784015415869704
carbon,0.5779425719783693
university,0.577426048815582
newest,0.5771856039923056
screen,0.5770856835341543
postcard,0.5759260743471708
jake,0.5759254950765128
community,0.5738142395899907
sessions,0.5737319634528378
sister,0.5737109792393134
cut,0.5729335354349986
boom,0.5722558998461673
setting,0.5712622341165098
handbags,0.5700132345252428
hits,0.5679059125310498
hours,0.567472621048609
daily,0.5673733955180774
foods,0.567109371019125
skateboard,0.566243464194884
dangerous,0.5654329427519303
thank,0.5638072778536057
documentary,0.5633499636744689
room,0.5601281810091
sophomore,0.5600200897232482
set,0.5591725705618186
sculpture,0.5587259632212261
mass,0.5584117173227647
alex,0.5580497428406936
active,0.5562785439764578
jungle,0.5562531819708645
bridge,0.5560327722946885
northern,0.5550009580580513
harvest,0.5547265074078774
tim,0.5527607829924507
bicycle,0.5527392978332721
mountain,0.5515821301244522
affordable,0.5503435092510328
draw,0.5495239408679049
olive,0.548279275669432
la,0.5475785399029411
witch,0.5468626891638743
monsters,0.5456539169070241
pin,0.5450338512939159
david,0.5449370678278772
boxes,0.5449228102065946
place,0.5441164697431948
exhibit,0.5435618877957106
hill,0.5433333414536347
girl,0.5405623120451818
burlesque,0.5384113613935442
collection,0.5380397060398323
western,0.5377485977174324
lines,0.5376238454169953
nd,0.5368384151015778
adults,0.5363172063069355
revolution,0.5360011085375779
trade,0.5353267434623472
cook,0.5342545779634759
al,0.5326215500412379
mile,0.5318887483626675
copper,0.5317119872969627
luck,0.5302362404638291
creek,0.5302001680235985
west,0.5289679025432857
silk,0.527841905987503
card,0.5263768095415259
haiti,0.5258969312028924
commissions,0.525445306555047
tradition,0.524572063071614
ny,0.5243919054660816
inside,0.5229715801875244
throw,0.5221153539321914
coloring,0.5208211889289499
lee,0.5204381250157917
pure,0.5196045848362633
tiny,0.516461451475811
coin,0.5157101222311811
warm,0.5156952154807627
bikes,0.5148272345602344
midnight,0.513695663340888
queen,0.5125664922212011
bottle,0.5124052603709892
map,0.511784316806408
wind,0.5117242744176874
ryan,0.5102761167059247
comedy,0.5097978961805364
mastering,0.5086866800155385
calendar,0.5082630312029626
join,0.5068066659465637
bus,0.5060629727472038
does,0.5059648121922633
ve,0.5055875656083854
beast,0.5054726660365032
fresh,0.5048040775755794
noise,0.5031589034249779
songs,0.5026519727909031
goat,0.5025676767088955
spirits,0.5018994137334222
farmers,0.500199280377536
bread,0.4991344528366008
connection,0.49861945069372215
sons,0.4985594680153616
dry,0.49779821796903106
lamp,0.49545386918942896
golden,0.4953160901482729
ex,0.49510198925927584
produced,0.49490326916336563
ghosts,0.494858439777354
les,0.49475767957567807
travels,0.4945792558406889
lose,0.494519199433836
force,0.49435165917380136
rolling,0.49378191717194625
brain,0.49354273929643366
perfect,0.4934609803441262
matthew,0.4931805864525471
lightning,0.49280655667853474
dolls,0.4909303187779509
joy,0.49054495141858595
epic,0.490455828261538
read,0.4902807032582545
pi,0.4886526420201065
hit,0.48863483017237175
honey,0.4885028887308088
awesome,0.4877720004625715
ski,0.48732502428444596
craft,0.4872109115035948
sketch,0.48561420748077105
festival,0.4848099104766958
scott,0.4847286787437315
learn,0.48392603876947576
writers,0.48389246386034956
programming,0.4838163093497092
air,0.4827586979906196
bone,0.4818236546265778
coffee,0.48121492548662137
austin,0.4801479403808936
cd,0.4800367702897394
shark,0.47994901919552796
make,0.4779066021456739
pie,0.47752049420495263
ways,0.47713736842928833
france,0.4770287888197045
lingerie,0.47694016929681643
display,0.4748675411142329
timeless,0.47454105742754865
creatures,0.4733421697087455
nice,0.4726232932849368
march,0.4715738538547178
functional,0.47111768430207634
brewery,0.4707829403533981
shadows,0.4703200444316845
farmer,0.46944500260791394
river,0.46869531947113907
hard,0.46850973366378923
wake,0.4682062581965912
good,0.46799737997222307
red,0.46713529159522343
wilderness,0.46692216419628585
batch,0.4664952372151181
spring,0.46630694571735026
endless,0.46592820953393654
wood,0.46548780401619505
choir,0.4632918437159411
pack,0.46309328279769396
forest,0.46278424461973044
bite,0.461443483546781
fairy,0.46009800093975073
rogue,0.45937057257446184
illustration,0.4592656776988416
chicago,0.458440140910616
luxury,0.4581687042926712
humans,0.45723551168233645
kevin,0.45696381607016956
bee,0.4563014652881803
mini,0.45585383529326623
bring,0.45574081205320105
better,0.4555741542762919
sunday,0.4549335244555488
precision,0.45449834811328127
photobook,0.453369696130636
shakespeare,0.4533284178406312
renaissance,0.4528268381632979
plant,0.4527822694925777
seattle,0.4522555549542844
opera,0.45209627683419884
recording,0.4509480250767228
barrel,0.4502950534467195
joe,0.44927811010479546
amazon,0.44846923347915013
winter,0.44761627090821604
sized,0.44721725771029847
puppet,0.4467412548278094
doctor,0.44593173517074125
pre,0.44560994745184834
gathering,0.4456097805080049
city,0.4448989494543301
like,0.44476179160337004
growing,0.44435816189642113
uspcc,0.4442419512580109
mermaid,0.4430752767829133
key,0.4420331803026613
jack,0.44110360358923717
recycled,0.44051031473962826
british,0.439828014592085
buffalo,0.4397091932274389
fundraiser,0.4392982634437898
revolutionary,0.43810231227917634
friend,0.43799547533313377
pilot,0.4379656837100861
miller,0.4370440452140632
rural,0.43699621514591724
seed,0.4366723387143706
farms,0.4354659419856569
introducing,0.4350394196362062
summer,0.43359829275220946
snack,0.4334256142846434
ceramic,0.43286614026597153
future,0.4318504343113081
comfort,0.4314208702803029
cup,0.43139917839176395
gay,0.43097413109866634
colorful,0.43053544081235723
myth,0.43051763704242074
shelter,0.430261684608463
right,0.42907378188343087
secret,0.42897579075122366
big,0.4284777641698621
form,0.428409025047248
stones,0.42712773747786603
robert,0.42556971144221023
dragons,0.425387760010473
max,0.4249145254555405
denver,0.42446589276663427
thousand,0.4243369725203033
ring,0.42315183966210607
cycle,0.42300577555702623
hungry,0.4226854522284874
strange,0.4223241416535462
yellow,0.4221001569135066
di,0.42043471220255685
landscapes,0.4203079589037462
crafted,0.4202604279330471
auto,0.4201314564271277
releasing,0.42012600697661023
untold,0.4196208966731587
bomb,0.4194351382591919
land,0.4191710583954948
bit,0.41826029349167554
history,0.4168925569087158
light,0.4152657644346716
roots,0.41388259600670935
toy,0.41305674661205155
mask,0.41146054341577515
july,0.41144060358225
curse,0.41105724715893377
cosmic,0.4101554129186833
pop,0.4101239378108411
taylor,0.4088072394792219
jason,0.40720141715700225
swim,0.40679850122723954
andy,0.4066394883982645
zen,0.40628835598868485
gallery,0.4056571420413347
bakery,0.40511112264016885
fighting,0.40481941293928037
die,0.40468737800103943
ties,0.403957451912653
doll,0.40183545185316205
empowering,0.4017380484936576
spin,0.4010904188150404
rule,0.40093610216179204
pro,0.40018573479304376
feet,0.3998361069045809
water,0.3979603161022799
glasses,0.3963394503060011
trees,0.394784887103873
fuel,0.3937238842239632
female,0.39202142505571835
beneath,0.3888474831027162
push,0.38816328906923825
inner,0.3874158059340423
color,0.3864688661863811
john,0.3863137310676295
asian,0.3857098825903464
notes,0.385520080254741
samurai,0.3848078197740094
paris,0.38427896469732337
mike,0.382728550548067
poster,0.3819050035345701
heavy,0.38177907144609896
roll,0.38155464814837714
mystery,0.38145654134569956
prison,0.38074170408201935
act,0.38001063018045234
hook,0.3796365368647705
breath,0.37936200753719707
tales,0.37885901639091574
soon,0.3783619650732796
cities,0.37729364018290246
drawn,0.37681578775328783
beef,0.37598068629012416
won,0.3746777427290632
usa,0.374599438155943
waiting,0.37439496289089064
park,0.3737820974385208
plan,0.37331319831966303
sound,0.37304161252543405
brothers,0.3730401424922608
home,0.3721702161743664
stylish,0.3721389968063283
everybody,0.3698835487633487
naked,0.36736887089879394
europe,0.3659281201666867
loud,0.36581127666574315
loss,0.3655418088020711
hub,0.36435671597928104
forge,0.3637399102613313
ages,0.3631982729110085
blanket,0.36259474768215283
click,0.362368291417001
jr,0.3621511091943995
mountains,0.3621211392915452
swing,0.3616623742741121
animal,0.36051862959371894
making,0.3602678998730077
indian,0.3598133900325536
mama,0.35933439822578706
dock,0.3571758150683657
gluten,0.35637543479871936
things,0.3562712531157354
crime,0.3556466816582446
seconds,0.3556139377486143
albums,0.3552632835449722
combat,0.3543677729628333
umbrella,0.3540781038914169
tie,0.353823641153016
razor,0.3537966685249833
center,0.3534056055766058
cash,0.353300028916461
classic,0.35325379319757116
release,0.3532241008962793
process,0.35283399141513705
small,0.35259344699853
books,0.3523365046151722
evening,0.3521196988195741
chinese,0.3517509377303677
